i,area,depth,trinode_1,trinode_2,trinode_3,lochRegion
"94759",10049.701171875,12.0582313537598,"53132","53651","53650","7"
"94760",13193.23828125,13.9020681381226,"53132","53133","53651","7"
"94761",13194.3051757813,10.6921348571777,"53133","53652","53651","7"
"94762",13190.4345703125,9.02051162719727,"53134","53652","53133","7"
"94763",9198.9296875,3.90297174453735,"53654","53135","53653","7"
"94764",9262.86376953125,3.91443967819214,"53135","53136","53653","7"
"94765",10185.7709960938,3.28603434562683,"53136","53655","53653","7"
"94766",9587.19677734375,2.12118983268738,"53137","53655","53136","7"
"94767",10059.8100585938,1.77023494243622,"53137","53138","53655","7"
"94768",12050.7758789063,2.72718691825867,"53138","53656","53655","7"
"94769",6441.54150390625,3.34656238555908,"53657","53656","53138","7"
"94770",11461.4580078125,2.94204831123352,"53657","53138","53139","7"
"94771",15196.1142578125,2.61145925521851,"53657","53139","53658","7"
"94772",17492.0219726563,4.35093116760254,"53140","53658","53139","7"
"94773",18122.4223632813,5.46282148361206,"53659","53658","53140","7"
"94774",13273.9794921875,11.2912263870239,"53659","53140","53660","7"
"94775",13266.611328125,16.4210681915283,"53141","53660","53140","7"
"94776",13270.12109375,22.6744823455811,"53661","53660","53141","7"
"94777",16342.9072265625,25.9333763122559,"53661","53141","53142","7"
"94778",17052.1606445313,25.4205131530762,"53661","53142","53143","7"
"94779",14882.7221679688,22.181037902832,"53661","53143","53662","7"
"94780",14827.2763671875,18.1504592895508,"53143","53663","53662","7"
"94781",14829.7607421875,17.8809680938721,"53144","53663","53143","7"
"94782",14657.9663085938,16.3523559570313,"53144","53664","53663","7"
"94783",16330.3295898438,15.9649066925049,"53144","53145","53664","7"
"94784",16374.13671875,13.2569742202759,"53145","53665","53664","7"
"94785",16375.041015625,11.7224893569946,"53666","53665","53145","7"
"94786",20150.3115234375,11.8572158813477,"53666","53145","53146","7"
"94787",17975.2578125,10.7837228775024,"53666","53146","53667","7"
"94788",17827.0732421875,11.1025867462158,"53667","53146","53147","7"
"94789",15220.916015625,10.4011859893799,"53668","53667","53147","7"
"94790",15887.05078125,9.42784690856934,"53668","53147","53669","7"
"94791",18179.517578125,10.1619863510132,"53148","53669","53147","7"
"94792",19299.763671875,8.0558967590332,"53149","53669","53148","7"
"94793",18564.1147460938,5.50186252593994,"53149","53670","53669","7"
"94794",16531.2392578125,13.785870552063,"53150","53151","53671","7"
"94795",12728.267578125,13.8935804367065,"53151","53672","53671","7"
"94796",8282.078125,16.0114288330078,"53152","53672","53151","7"
"94797",8417.015625,18.1852474212646,"53152","53153","53672","7"
"94798",6804.7353515625,16.9813842773438,"53673","53672","53153","7"
"94799",6692.80322265625,20.0105648040771,"53674","53673","53153","7"
"94800",7320.529296875,26.3916816711426,"53674","53153","53154","7"
"94801",7201.220703125,30.2203884124756,"53674","53154","53675","7"
"94802",7545.1630859375,32.6739273071289,"53675","53154","53155","7"
"94803",7585.2216796875,28.4749984741211,"53676","53675","53155","7"
"94804",8452.83154296875,25.8088970184326,"53676","53155","53677","7"
"94805",10465.0224609375,28.0345764160156,"53155","53156","53677","7"
"94806",9597.05859375,27.9631786346436,"53157","53677","53156","7"
"94807",9864.98046875,28.4709033966064,"53157","53678","53677","7"
